,date_of_report,gender,age,ethnicity,company,postal_code,safety,safety_change,mental_health,mental_issues,positive,working_situation,financial_outlook,childcare,share_domestic,written_report,email
11,24/05/2020 02:30 AM,Woman,35-44,White,['Alone' 'My children'],Rg41 5sw,5,Worse,3,"['I feel worried about my health' 'I feel worried about my health'
 'It has been repetitive / boring']",['I have enjoyed working from homeOther'],"Yes, but I had to reduce working hours because of the lockdown",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,I take care of all the housework,I love ice cream chocolate cake wafer. Gingerbread liquorice wafer cheesecake ice cream pudding. Fruitcake marzipan cupcake jelly cupcake tootsie roll I love,
12,27/05/2020 12:39 AM,Woman,45-54,White,['My siblings' 'My children'],Spain,5,Better,0,['I feel scared about the future' 'I feel anxious'],['I have had more support in my childcare responsibilities'],"Yes, I work outside of my home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,I do less housework then others,Cheesecake I love tart. Macaroon carrot cake sesame snaps croissant. Halvah tiramisu ice cream. Sugar plum I love sesame snaps tart. Cupcake ice cream danish lemon drops dessert tootsie roll topping.,
13,16/05/2020 03:57 PM,Woman,25-34,White,['My children' 'My partner'],SW18 4HE,5,Not changed,5,['I feel stressed' 'I feel stressed'],['I have had more time to connect with loved ones'],"No, I am not in the labor force (student, retired, etc.) or unemployed",Impacted me positively - I think that I will come out of this in a stronger financial position,"Yes – my work isn't impacted, but I feel the strain",I take care of all the housework,Sesame snaps chocolate jujubes. Croissant danish muffin. Donut macaroon jelly-o danish oat cake gummi bears I love cheesecake chocolate. Bonbon dragée topping. Fruitcake cheesecake sugar plum cake marshmallow gingerbread caramels cake. I love sweet roll candy canes cheesecake donut candy canes topping. Carrot cake lollipop candy canes. Fruitcake I love bonbon cake I love pastry I love. Bonbon marzipan I love. Bear claw oat cake tart gingerbread tootsie roll. Liquorice powder soufflé. Icing topping ice cream pie donut oat cake gummies. Pudding oat cake cake I love macaroon.,
14,13/05/2020 10:50 PM,Other,>64,White,"['Other family members (e.g. grandparents, aunts, cousins)' 'My partner']",OX3 8DX,5,Better,3,"['I feel worried about my health' 'I feel scared about the future'
 'I feel anxious' 'It has been repetitive / boring' 'Other'
 'I feel anxious']","['I have had more support in my childcare responsibilities'
 'I have had more support in my daily tasks in the house']","Yes, I work outside of my home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - but it’s manageable and sustainable,I do less housework then others,Biscuit biscuit fruitcake. Marshmallow pastry biscuit sugar plum chocolate bar tootsie roll apple pie lemon drops chocolate bar. Chocolate bonbon jelly sweet roll ice cream sesame snaps fruitcake. Jujubes gingerbread biscuit oat cake caramels chocolate cake. Biscuit candy pudding chupa chups wafer pastry candy. Chocolate bar candy canes chocolate bar I love I love danish bear claw marshmallow gummi bears.,test@test.com
15,17/05/2020 08:51 PM,Woman,45-54,White,"['My siblings' 'Other family members (e.g. grandparents, aunts, cousins)']",Central London,5,Worse,5,['I feel scared about the future' 'It has been repetitive / boring'],"['I have more time for leisure, e.g. to explore new activities, develop skills']","No, I have been made redundant because of the lockdown",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,We share it equally,Gummies marzipan pastry danish ice cream gingerbread tiramisu. Cake ice cream carrot cake toffee I love candy jujubes. Soufflé marzipan ice cream toffee pastry sweet roll pastry jelly. Danish biscuit chocolate cake caramels soufflé apple pie. I love I love cheesecake lollipop jelly beans bear claw. Tiramisu danish candy croissant sweet lollipop. Toffee toffee jelly beans jelly candy.,
16,31/05/2020 08:46 PM,Woman,55-64,White,['My parent(s) / caregivers'],NW1 8NY,5,Better,2,"['I feel anxious' 'I feel scared about the future'
 'I feel scared about the future' 'I feel worried about my health']","['I have more time for leisure, e.g. to explore new activities, develop skills']","No, I have had to stop working for other reasons related to COVID-19",Significantly impacted me negatively - I am extremely concerned about my new financial situation,"Yes – my work isn't impacted, but I feel the strain",I am not doing any housework,Sweet chocolate bar pudding soufflé donut I love. Powder jelly beans jelly beans cake pastry donut. Bear claw dragée brownie toffee I love carrot cake I love tart. Chupa chups croissant danish marshmallow I love ice cream gummies.,test@test.com
17,31/05/2020 11:16 PM,Woman,45-54,White,['My children'],LE11 3LY,5,Better,4,['I feel anxious'],"['I have more time for leisure, e.g. to explore new activities, develop skills']","Yes, I work at home",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I take care of most of the housework,I love cheesecake icing cake I love. Liquorice marzipan sugar plum chocolate sugar plum. Jelly cookie lemon drops I love brownie carrot cake caramels. Jelly-o wafer sweet bonbon icing. Danish candy topping tart sugar plum soufflé chupa chups I love. Bonbon oat cake gummi bears jelly beans I love candy canes lollipop danish.,
18,22/05/2020 06:06 PM,Woman,25-34,White,"['My siblings' 'Other family members (e.g. grandparents, aunts, cousins)']",IV38HQ,5,Better,3,"['Other' 'It has been repetitive / boring' 'I feel stressed'
 'I feel lonely']",['I have had more time to connect with loved ones'],"Yes, I work at home",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - to the extent that it is impacting my job,I take care of all the housework,Muffin donut tootsie roll tiramisu I love bonbon cake tart I love. Carrot cake muffin brownie sweet muffin cake biscuit I love. Pastry caramels jelly beans oat cake. Toffee cookie pastry macaroon caramels cotton candy. Toffee marzipan jujubes biscuit. Croissant lemon drops chocolate oat cake wafer cupcake chupa chups cake.,test@test.com
19,23/05/2020 07:09 PM,Other,>64,White,['My parent(s) / caregivers'],Cr5 1qs,2,Worse,5,"['I feel scared about the future' 'It has been repetitive / boring'
 'I feel lonely']","['I have enjoyed working from homeOther'
 'I have had more time to connect with loved ones']","Yes, I work at home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"No, I haven't noticed much change",I take care of all the housework,,
20,21/05/2020 03:47 PM,Woman,>64,White,['My parent(s) / caregivers' 'Other'],Poland,5,Better,1,['Other' 'I’m having conflicts in my relationship'],['I have had more support in my daily tasks in the house'],"Yes, I work outside of my home",Minimal impact – I think that things will mostly stay the same,Yes - but it’s manageable and sustainable,I do less housework then others,Carrot cake brownie cake liquorice soufflé carrot cake jujubes cupcake I love. Soufflé soufflé sugar plum. Sugar plum cake marzipan dessert. I love chupa chups I love I love jujubes. Marzipan lemon drops sesame snaps sugar plum I love cotton candy croissant sesame snaps I love. Powder gummies soufflé topping jelly gingerbread cake sweet roll jujubes. Tiramisu I love I love tootsie roll I love soufflé. Apple pie cake I love lemon drops chocolate bar biscuit sweet biscuit. I love icing pastry cake halvah. I love I love icing caramels bonbon caramels. Cupcake lemon drops I love fruitcake gummi bears brownie. Danish cupcake icing I love.,test@test.com
21,20/05/2020 10:08 AM,Woman,<18,White,['Other'],India,5,Worse,3,['Other'],['I have enjoyed working from homeOther'],"Yes, but I had to reduce working hours because of the lockdown",Significantly impacted me negatively - I am extremely concerned about my new financial situation,Yes - but it’s manageable and sustainable,I take care of all the housework,I love ice cream chocolate cake wafer. Gingerbread liquorice wafer cheesecake ice cream pudding. Fruitcake marzipan cupcake jelly cupcake tootsie roll I love,
22,15/05/2020 02:13 AM,Man,>64,White,"['Other family members (e.g. grandparents, aunts, cousins)' 'My partner']",SE28,5,Not changed,0,['I feel stressed' 'I feel stressed' 'I feel stressed'],['I have had more time to connect with loved ones'],"No, I have had to stop working for other reasons related to COVID-19",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,We share it equally,Cheesecake I love tart. Macaroon carrot cake sesame snaps croissant. Halvah tiramisu ice cream. Sugar plum I love sesame snaps tart. Cupcake ice cream danish lemon drops dessert tootsie roll topping.,test@test.com
23,04/05/2020 04:15 AM,Woman,25-34,White,"['Other family members (e.g. grandparents, aunts, cousins)']",HKSAR,0,Worse,3,['It has been repetitive / boring'],['I have had more time to connect with loved ones'],"Yes, but I had to reduce working hours because of the lockdown",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - to the extent that it is impacting my job,I am not doing any housework,Sesame snaps chocolate jujubes. Croissant danish muffin. Donut macaroon jelly-o danish oat cake gummi bears I love cheesecake chocolate. Bonbon dragée topping. Fruitcake cheesecake sugar plum cake marshmallow gingerbread caramels cake. I love sweet roll candy canes cheesecake donut candy canes topping. Carrot cake lollipop candy canes. Fruitcake I love bonbon cake I love pastry I love. Bonbon marzipan I love. Bear claw oat cake tart gingerbread tootsie roll. Liquorice powder soufflé. Icing topping ice cream pie donut oat cake gummies. Pudding oat cake cake I love macaroon.,
24,15/05/2020 11:14 AM,Woman,25-34,White,['Alone' 'Other' 'Alone'],Uk,5,Worse,2,['I’m having conflicts in my relationship'],['I have had more time to connect with loved ones'],"Yes, I work outside of my home",Significantly impacted me negatively - I am extremely concerned about my new financial situation,Yes - but it’s manageable and sustainable,I take care of all the housework,Biscuit biscuit fruitcake. Marshmallow pastry biscuit sugar plum chocolate bar tootsie roll apple pie lemon drops chocolate bar. Chocolate bonbon jelly sweet roll ice cream sesame snaps fruitcake. Jujubes gingerbread biscuit oat cake caramels chocolate cake. Biscuit candy pudding chupa chups wafer pastry candy. Chocolate bar candy canes chocolate bar I love I love danish bear claw marshmallow gummi bears.,
25,22/05/2020 04:15 AM,Woman,25-34,White,['Alone'],Poland,5,Better,0,"['I feel lonely' 'I’m having conflicts in my relationship'
 'It has been repetitive / boring']",['I have had more support in my daily tasks in the house'],"No, I have had to stop working for other reasons related to COVID-19",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"No, I haven't noticed much change",I take care of all the housework,Gummies marzipan pastry danish ice cream gingerbread tiramisu. Cake ice cream carrot cake toffee I love candy jujubes. Soufflé marzipan ice cream toffee pastry sweet roll pastry jelly. Danish biscuit chocolate cake caramels soufflé apple pie. I love I love cheesecake lollipop jelly beans bear claw. Tiramisu danish candy croissant sweet lollipop. Toffee toffee jelly beans jelly candy.,test@test.com
26,28/05/2020 06:01 AM,Woman,25-34,White,"['Other family members (e.g. grandparents, aunts, cousins)'
 'Other family members (e.g. grandparents, aunts, cousins)']",w3 9rq,0,Not changed,0,"['Other' 'It has been repetitive / boring' 'I feel stressed'
 'I feel stressed']","['I have enjoyed working from homeOther'
 'I have more time for leisure, e.g. to explore new activities, develop skills']","No, I am not in the labor force (student, retired, etc.) or unemployed",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - but it’s manageable and sustainable,I take care of most of the housework,Sweet chocolate bar pudding soufflé donut I love. Powder jelly beans jelly beans cake pastry donut. Bear claw dragée brownie toffee I love carrot cake I love tart. Chupa chups croissant danish marshmallow I love ice cream gummies.,
27,31/05/2020 09:24 AM,Woman,25-34,White,['My partner' 'With one or more friends / housemates' 'My children'],W13,5,Better,3,['I feel anxious' 'It has been repetitive / boring'],['I have had more time to connect with loved ones'],"Yes, I work outside of my home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"No, I haven't noticed much change",We share it equally,I love cheesecake icing cake I love. Liquorice marzipan sugar plum chocolate sugar plum. Jelly cookie lemon drops I love brownie carrot cake caramels. Jelly-o wafer sweet bonbon icing. Danish candy topping tart sugar plum soufflé chupa chups I love. Bonbon oat cake gummi bears jelly beans I love candy canes lollipop danish.,
28,14/05/2020 08:33 AM,Woman,<18,White,['With one or more friends / housemates'],Kegworth,0,Not changed,2,['It has been repetitive / boring' 'I feel stressed'],"['I have had more time to connect with loved ones'
 'I have had more time to connect with loved ones']","No, I have been made redundant because of the lockdown",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I do less housework then others,Muffin donut tootsie roll tiramisu I love bonbon cake tart I love. Carrot cake muffin brownie sweet muffin cake biscuit I love. Pastry caramels jelly beans oat cake. Toffee cookie pastry macaroon caramels cotton candy. Toffee marzipan jujubes biscuit. Croissant lemon drops chocolate oat cake wafer cupcake chupa chups cake.,
29,31/05/2020 04:26 PM,Woman,25-34,White,['My partner'],England,5,Worse,5,['I feel anxious' 'I feel worried about my health' 'I feel stressed'],"['I have had more time to connect with loved ones'
 'I have had more time to connect with loved ones']","No, I have had to stop working for other reasons related to COVID-19",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"Yes – my work isn't impacted, but I feel the strain",I do less housework then others,,test@test.com
30,31/05/2020 07:18 AM,Woman,>64,White,['Alone'],Berlin germany,5,Better,0,['I feel anxious' 'It has been repetitive / boring'],"['I have had more support in my daily tasks in the house'
 'I have had more support in my childcare responsibilities']","No, I have been made redundant because of the lockdown",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,I take care of all the housework,Carrot cake brownie cake liquorice soufflé carrot cake jujubes cupcake I love. Soufflé soufflé sugar plum. Sugar plum cake marzipan dessert. I love chupa chups I love I love jujubes. Marzipan lemon drops sesame snaps sugar plum I love cotton candy croissant sesame snaps I love. Powder gummies soufflé topping jelly gingerbread cake sweet roll jujubes. Tiramisu I love I love tootsie roll I love soufflé. Apple pie cake I love lemon drops chocolate bar biscuit sweet biscuit. I love icing pastry cake halvah. I love I love icing caramels bonbon caramels. Cupcake lemon drops I love fruitcake gummi bears brownie. Danish cupcake icing I love.,
31,31/05/2020 10:34 PM,Woman,55-64,White,"['Alone' 'Other' 'Alone'
 'Other family members (e.g. grandparents, aunts, cousins)']",NN4,5,Better,3,"['I feel worried about my health'
 'I’m having conflicts in my relationship']","['I have more time for leisure, e.g. to explore new activities, develop skills']","No, I am not in the labor force (student, retired, etc.) or unemployed",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,We share it equally,I love ice cream chocolate cake wafer. Gingerbread liquorice wafer cheesecake ice cream pudding. Fruitcake marzipan cupcake jelly cupcake tootsie roll I love,
32,16/05/2020 08:47 PM,Woman,<18,White,['My children'],0,0,Not changed,3,"['It has been repetitive / boring' 'I feel worried about my health'
 'It has been repetitive / boring']","['I have had more support in my childcare responsibilities'
 'I have enjoyed working from homeOther']","Yes, but I had to reduce working hours because of the lockdown",Impacted me positively - I think that I will come out of this in a stronger financial position,Yes - but it’s manageable and sustainable,I take care of all the housework,Cheesecake I love tart. Macaroon carrot cake sesame snaps croissant. Halvah tiramisu ice cream. Sugar plum I love sesame snaps tart. Cupcake ice cream danish lemon drops dessert tootsie roll topping.,test@test.com
33,31/05/2020 03:37 AM,Woman,>64,White,['My parent(s) / caregivers'],Rh7 6jj,5,Worse,5,"['I feel anxious' 'I feel worried about my health'
 'I feel scared about the future']",['I have enjoyed working from homeOther'],"Yes, I work outside of my home",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"No, I haven't noticed much change",I take care of all the housework,Sesame snaps chocolate jujubes. Croissant danish muffin. Donut macaroon jelly-o danish oat cake gummi bears I love cheesecake chocolate. Bonbon dragée topping. Fruitcake cheesecake sugar plum cake marshmallow gingerbread caramels cake. I love sweet roll candy canes cheesecake donut candy canes topping. Carrot cake lollipop candy canes. Fruitcake I love bonbon cake I love pastry I love. Bonbon marzipan I love. Bear claw oat cake tart gingerbread tootsie roll. Liquorice powder soufflé. Icing topping ice cream pie donut oat cake gummies. Pudding oat cake cake I love macaroon.,
34,20/05/2020 12:31 AM,Woman,45-54,White,"['My parent(s) / caregivers'
 'Other family members (e.g. grandparents, aunts, cousins)']",NW71LJ,5,Worse,5,['I feel lonely' 'I feel scared about the future' 'I feel lonely'],['I have had more time to connect with loved ones'],"No, I have had to stop working for other reasons related to COVID-19",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,We share it equally,Biscuit biscuit fruitcake. Marshmallow pastry biscuit sugar plum chocolate bar tootsie roll apple pie lemon drops chocolate bar. Chocolate bonbon jelly sweet roll ice cream sesame snaps fruitcake. Jujubes gingerbread biscuit oat cake caramels chocolate cake. Biscuit candy pudding chupa chups wafer pastry candy. Chocolate bar candy canes chocolate bar I love I love danish bear claw marshmallow gummi bears.,
35,31/05/2020 01:31 AM,Woman,25-34,Other ethnic group,['Other' 'Other' 'My siblings'],Ha4,1,Better,5,['I’m having conflicts in my relationship'],['I have had more support in my daily tasks in the house'],"No, I have been furloughed because of the lockdown",Minimal impact – I think that things will mostly stay the same,"Yes – my work isn't impacted, but I feel the strain",I take care of all the housework,Gummies marzipan pastry danish ice cream gingerbread tiramisu. Cake ice cream carrot cake toffee I love candy jujubes. Soufflé marzipan ice cream toffee pastry sweet roll pastry jelly. Danish biscuit chocolate cake caramels soufflé apple pie. I love I love cheesecake lollipop jelly beans bear claw. Tiramisu danish candy croissant sweet lollipop. Toffee toffee jelly beans jelly candy.,
36,26/05/2020 05:51 AM,Man,55-64,White,['My parent(s) / caregivers' 'Alone'],Spain,1,Worse,2,['It has been repetitive / boring' 'I feel scared about the future'],"['I have had more support in my childcare responsibilities'
 'I have had more support in my childcare responsibilities']","Yes, I work outside of my home",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I take care of most of the housework,Sweet chocolate bar pudding soufflé donut I love. Powder jelly beans jelly beans cake pastry donut. Bear claw dragée brownie toffee I love carrot cake I love tart. Chupa chups croissant danish marshmallow I love ice cream gummies.,
37,22/05/2020 12:56 PM,Woman,55-64,White,['My partner'],SE28,5,Better,0,['It has been repetitive / boring'],['I have had more time to connect with loved ones'],"Yes, I work outside of my home",Impacted me positively - I think that I will come out of this in a stronger financial position,"Yes – my work isn't impacted, but I feel the strain",I do less housework then others,I love cheesecake icing cake I love. Liquorice marzipan sugar plum chocolate sugar plum. Jelly cookie lemon drops I love brownie carrot cake caramels. Jelly-o wafer sweet bonbon icing. Danish candy topping tart sugar plum soufflé chupa chups I love. Bonbon oat cake gummi bears jelly beans I love candy canes lollipop danish.,
38,28/05/2020 05:57 AM,Man,25-34,White,['My parent(s) / caregivers'],Spain,2,Worse,3,['I feel scared about the future' 'Other'],['I have had more time to connect with loved ones'],"Yes, I work at home",Minimal impact – I think that things will mostly stay the same,Yes - to the extent that it is impacting my job,I take care of all the housework,Muffin donut tootsie roll tiramisu I love bonbon cake tart I love. Carrot cake muffin brownie sweet muffin cake biscuit I love. Pastry caramels jelly beans oat cake. Toffee cookie pastry macaroon caramels cotton candy. Toffee marzipan jujubes biscuit. Croissant lemon drops chocolate oat cake wafer cupcake chupa chups cake.,
39,14/05/2020 02:14 PM,Woman,35-44,White,['My siblings'],SE8 4SQ,5,Better,0,['Other' 'I feel worried about my health'],"['I have had more support in my daily tasks in the house'
 'I have had more support in my childcare responsibilities']","No, I have been furloughed because of the lockdown",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,Yes - to the extent that it is impacting my job,I do less housework then others,,
40,15/05/2020 08:28 AM,Other,55-64,White,['My children'],TQ2 6DW,5,Better,0,['Other' 'Other' 'Other' 'I’m having conflicts in my relationship'],"['I have more time for leisure, e.g. to explore new activities, develop skills']","No, I have been made redundant because of the lockdown",Mildly impacted me negatively - I am worried about my new financial situation but think I will be ok,"No, I haven't noticed much change",I do less housework then others,Carrot cake brownie cake liquorice soufflé carrot cake jujubes cupcake I love. Soufflé soufflé sugar plum. Sugar plum cake marzipan dessert. I love chupa chups I love I love jujubes. Marzipan lemon drops sesame snaps sugar plum I love cotton candy croissant sesame snaps I love. Powder gummies soufflé topping jelly gingerbread cake sweet roll jujubes. Tiramisu I love I love tootsie roll I love soufflé. Apple pie cake I love lemon drops chocolate bar biscuit sweet biscuit. I love icing pastry cake halvah. I love I love icing caramels bonbon caramels. Cupcake lemon drops I love fruitcake gummi bears brownie. Danish cupcake icing I love.,
41,14/05/2020 02:52 AM,Man,35-44,White,['My partner' 'With one or more friends / housemates'],E10,5,Worse,5,['I feel stressed' 'I’m having conflicts in my relationship'],['I have had more support in my daily tasks in the house'],"Yes, I work outside of my home",Significantly impacted me negatively - I am extremely concerned about my new financial situation,"Yes – my work isn't impacted, but I feel the strain",I am not doing any housework,I love ice cream chocolate cake wafer. Gingerbread liquorice wafer cheesecake ice cream pudding. Fruitcake marzipan cupcake jelly cupcake tootsie roll I love,
